,sbert,e5,simcse,sbert_ft,e5_ft,simcse_ft
sbert,1.0,1.0,1.0,0.001831,0.001831,0.001831
e5,1.0,1.0,1.0,0.001831,0.001831,0.001831
simcse,1.0,1.0,1.0,0.001831,0.001831,0.001831
sbert_ft,0.001831,0.001831,0.001831,1.0,1.0,0.811523
e5_ft,0.001831,0.001831,0.001831,1.0,1.0,0.863037
simcse_ft,0.001831,0.001831,0.001831,0.811523,0.863037,1.0
