,local_las,local_rf,chain_lr,chain_rf,global_rf
sbert,0.000122,0.000122,0.000122,0.000122,0.000122
sbert_ft,,,,,
e5,0.000122,0.000122,0.000122,0.000122,0.000244
e5_ft,,,,,
simcse,0.000122,0.000122,0.000122,0.000122,0.000244
simcse_ft,,,,,
