,sbert,e5,simcse,sbert_ft,e5_ft,simcse_ft
sbert,1.0,0.9906375296868809,0.9996598622806602,8.013866172196238e-05,3.837787200033915e-06,0.0011486678967912445
e5,0.9906375296868809,1.0,0.9996598622806602,0.0011486678967912445,8.013866172196238e-05,0.011088514683743944
simcse,0.9996598622806602,0.9996598622806602,1.0,0.00031831377246061,1.836695712043035e-05,0.003755730090162279
sbert_ft,8.013866172196238e-05,0.0011486678967912445,0.00031831377246061,1.0,0.9906375296868809,0.9906375296868809
e5_ft,3.837787200033915e-06,8.013866172196238e-05,1.836695712043035e-05,0.9906375296868809,1.0,0.8311307235930571
simcse_ft,0.0011486678967912445,0.011088514683743944,0.003755730090162279,0.9906375296868809,0.8311307235930571,1.0
