,local_las,local_rf,chain_lr,chain_rf,global_rf
sbert,0.753039,0.823457,0.748860,0.797122,0.830061
sbert_ft,0.988660,0.988660,0.988660,0.988660,0.988660
e5,0.707969,0.818526,0.719367,0.810735,0.876751
e5_ft,0.998062,0.998062,0.998062,0.998062,0.998062
simcse,0.744151,0.801028,0.726239,0.781599,0.857716
simcse_ft,0.983413,0.983413,0.983413,0.983413,0.983413
