Model,0,10,20,50,100,200,400
local_rf,0.8390518426895142,0.8339238166809082,0.7920408248901367,0.8105295896530151,0.8234749436378479,0.8163104057312012,0.779708981513977
global_rf,0.8765345215797424,0.8585060834884644,0.8391157984733582,0.8244674801826477,0.8535631895065308,0.8551727533340454,0.8244231343269348
chain_rf,0.8332480788230896,0.7982895374298096,0.7783243656158447,0.7916959524154663,0.79018235206604,0.7876052856445312,0.7718108296394348
Avg. diversity (1−cos) [E5],0.164278 (+0.0%),0.164011 (-0.2%),0.164453 (+0.1%),0.165774 (+0.9%),0.167564 (+2.0%),0.169500 (+3.2%),0.171336 (+4.3%)
