Model,0,10,20,50,100,200,400
chain_lr,0.6892235279083252,0.6737879514694214,0.6676065921783447,0.6737381219863892,0.6846904754638672,0.6846904754638672,0.6846904754638672
local_lasso,0.7046522498130798,0.6903446912765503,0.6882121562957764,0.6777620911598206,0.6787651181221008,0.6852312088012695,0.6980307102203369
Avg. diversity (1−cos) [E5],0.164278 (+0.0%),0.164011 (-0.2%),0.164453 (+0.1%),0.165774 (+0.9%),0.167564 (+2.0%),0.169500 (+3.2%),0.171336 (+4.3%)
