,Static,Frozen word-level (mean),Frozen sentence-level
Static,1.0,-0.5102040816326531,0.7653061224489796
Frozen word-level (mean),0.5102040816326531,1.0,0.9285714285714286
Frozen sentence-level,-0.7653061224489796,-0.9285714285714286,1.0
