,static,token_mean,token_max,token_cls,token_avg,sentence
chain_ERCcv_lr,0.8322772092297044,0.8549025731742304,0.9079248980598573,0.9761283335947104,0.9079248980598573,0.7382338550069198
chain_ERCcv_rf,0.88279522752998,0.9060957148409604,0.9377886086045577,0.9383213439508326,0.9377886086045577,0.8073136465745097
global_rf,0.8967475375116477,0.933126596683944,0.9569718635128636,0.9628796647473072,0.9569718635128636,0.8566668136965043
local_lasso,0.827236887728191,0.8354841653436234,0.9127981751457218,0.9358937490930634,0.9127981751457218,0.7383984036584805
local_mean,0.9999999999992564,0.9999999999992564,0.9999999999992564,0.9999999999992564,0.9999999999992564,0.9999999999992564
local_rf,0.8883434905644159,0.9167023008726702,0.9420405686539502,0.9476192991609373,0.9420405686539502,0.8268490169020642
