,local_mean,local_lasso,local_rf,global_rf,chain_ERCcv_lr,chain_ERCcv_rf
local_mean,1.0,0.0015,0.0015,0.0015,0.0015,0.0015
local_lasso,0.0015,1.0,0.2355,0.8552,0.0015,0.1676
local_rf,0.0015,0.2355,1.0,0.0016,0.0804,0.2355
global_rf,0.0015,0.8552,0.0016,1.0,0.0015,0.0016
chain_ERCcv_lr,0.0015,0.0015,0.0804,0.0015,1.0,0.1225
chain_ERCcv_rf,0.0015,0.1676,0.2355,0.0016,0.1225,1.0
