,local_mean,local_lasso,local_rf,global_rf,chain_ERCcv_lr,chain_ERCcv_rf
local_mean,1.0,1.0,1.0,1.0,1.0,1.0
local_lasso,-1.0,1.0,0.296,0.02,0.5,0.347
local_rf,-1.0,-0.296,1.0,-0.469,0.255,0.102
global_rf,-1.0,-0.02,0.469,1.0,0.653,0.51
chain_ERCcv_lr,-1.0,-0.5,-0.255,-0.653,1.0,-0.224
chain_ERCcv_rf,-1.0,-0.347,-0.102,-0.51,0.224,1.0
