,local_mean,local_lasso,local_rf,global_rf,chain_ERCcv_lr,chain_ERCcv_rf
local_mean,1.0,0.0001,0.0001,0.0001,0.0001,0.0001
local_lasso,0.0001,1.0,0.0906,0.8552,0.0001,0.0419
local_rf,0.0001,0.0906,1.0,0.0002,0.0134,0.0785
global_rf,0.0001,0.8552,0.0002,1.0,0.0001,0.0002
chain_ERCcv_lr,0.0001,0.0001,0.0134,0.0001,1.0,0.0245
chain_ERCcv_rf,0.0001,0.0419,0.0785,0.0002,0.0245,1.0
