subfamily,n,best,mean,std
frozen token mean + MTR,30,0.7527659508715315,0.895300943960484,0.06812934058209423
frozen token max + MTR,30,0.8031268313381978,0.9296488405304097,0.059602471133174406
frozen token cls + MTR,30,0.8709018049712243,0.9551062046551023,0.05545092471816732
frozen sentence + MTR,30,0.6815699714287151,0.7893588611031511,0.05878533438826725
