broad,n,best,mean,std
static,16,0.8131081318517492,0.8769065948908021,0.04808400302246224
frozen,120,0.6815699714287151,0.8923537125622868,0.08722499193519279
augmented,30,0.6676065921783447,0.7605565130710602,0.06861854002086873
