family_group,subfamily,n,best,mean,std
augmented,sentence,30,0.6676065921783447,0.7605565130710602,0.06861854002086873
frozen sentence + MTR,sentence,30,0.6815699714287151,0.7893588611031511,0.05878533438826725
frozen token cls + MTR,token-cls,30,0.8709018049712243,0.9551062046551023,0.05545092471816732
frozen token max + MTR,token-max,30,0.8031268313381978,0.9296488405304097,0.059602471133174406
frozen token mean + MTR,token-mean,30,0.7527659508715315,0.895300943960484,0.06812934058209423
static + MTR,static,16,0.8131081318517492,0.8769065948908021,0.04808400302246224
