augmentation,n,best,mean,std
A10,7,0.6737879514694214,0.7470518095152718,0.07994549646156501
A20,7,0.6676065921783447,0.7341955985341754,0.06765108837671752
A50,7,0.6737381219863892,0.7332596693720136,0.07140641590680215
A100,7,0.6755903363227844,0.7410788110324315,0.07829396032068452
A200,7,0.6840757131576538,0.7434562018939427,0.0739903670395491
A400,7,0.6846904754638672,0.7390373604638236,0.05271236611172813
