model,rrmse_mean,rrmse_std,rrmse_median,rrmse_25th,rrmse_75th
chain_ERCcv_lasso,1.0000000014357033,5.3803993757382256e-08,0.9999999999993276,0.999999999997819,0.9999999999996745
chain_ERCcv_lr,2.5322231088877016,10.229159277529055,0.8131081318517492,0.4262690962153024,1.4889293500992793
chain_ERCcv_mean,0.9999999999968976,1.5000278627825686e-11,0.9999999999992564,0.9999999999984067,0.999999999999561
chain_ERCcv_rf,2.020780644131217,9.421056050476937,0.8953812939492201,0.6089103435981074,1.2795086220828857
global_bag,2.11189446782594,12.6594976367968,0.8943069521011634,0.6333510951371165,1.2054000072970075
global_rf,2.176910732840387,13.959587973455877,0.8991964770472818,0.6376127433255907,1.195504182288335
local_lasso,2.6491643782956396,11.949648766141287,0.8138720230247248,0.44312066912432607,1.4893224719924398
local_lr,2.8218917588396812,12.669214432523965,0.8151430135922247,0.4271180803229451,1.537436851109759
local_mean,0.9999999999968976,1.5000269101552224e-11,0.9999999999992564,0.9999999999984067,0.999999999999561
local_rf,2.0327022145307168,9.434331884631726,0.8857742371972108,0.6053322979832148,1.2492007893061392
