domain_type,value
Education,0.7543456274180496
Education,0.79468699743677
Education,0.8708658488203451
Education,0.9177653326930997
Education,0.8079838685429968
Education,0.8949677301935773
Education,0.8508953956071843
Education,0.8624130652745106
Personality,0.8033097787288002
Personality,0.9038671198176005
Personality,0.8724308326899073
Personality,0.6983493428328624
Personality,0.838288963423924
Personality,0.9090459144510858
Education,0.8437832369394176
Education,0.9386487117749183
Education,0.9513990194164381
Education,0.9022227986008398
Education,0.878800300006789
Education,0.8602703730995924
Education,0.9092445799014925
Education,0.8979644632242874
Personality,0.8970309449702929
Personality,0.8535042363088834
Personality,0.9415773129497929
Personality,0.7745327087132401
Personality,0.8914270579704993
Personality,0.8243430140296775
Education,0.8035306260123256
Education,0.8590626629339668
Education,0.9344933761933836
Education,0.8464173169512137
Education,0.9194895966869954
Education,0.8273705160020897
Education,0.907448182843138
Education,0.9103114625174038
Personality,0.8685767106184681
Personality,0.8729475368483084
Personality,0.9227281599498081
Personality,0.693186795285061
Personality,0.8776572856092054
Personality,0.8315020706315801
Education,0.7957320465140848
Education,0.6151598919524346
Education,0.9277583163344905
Education,0.944721821966104
Education,0.8160419267436283
Education,0.9346361370636078
Education,0.8215425196082863
Education,1.0130164612813706
Personality,0.9326545249986049
Personality,0.9624582617484997
Personality,0.8758369813618038
Personality,0.6643288695333169
Personality,0.7936008508041654
Personality,0.8923383814230668
Education,0.7875104045292973
Education,0.7622729189838544
Education,0.9367126021547099
Education,0.8763184880737473
Education,0.9285401225602592
Education,0.9070801574673082
Education,0.9253584064055933
Education,0.9615254891979508
Personality,0.8361826659039844
Personality,0.9226696885417995
Personality,0.9203640750777751
Personality,0.7676855932289735
Personality,0.9277657776666539
Personality,0.9544572851491935
Education,0.8301604197858914
Education,0.771886173643628
Education,0.781792979304379
Education,0.8256854885588117
Education,0.8377908304058398
Education,0.8376815075106046
Education,0.8817746125907995
Education,0.8185049901940902
Personality,0.8253411249927951
Personality,0.8054490117407995
Personality,0.7548130975473926
Personality,0.6949089061029148
Personality,0.8668290427542201
Personality,0.8227339399445774
Education,0.8786757343622134
Education,0.8819897278709323
Education,0.8549076205788523
Education,0.8650415430494554
Education,0.9791600318767751
Education,0.8735317911644187
Education,0.8888335615123809
Education,0.8467502217136468
Personality,0.9173025935516663
Personality,0.9265896209688715
Personality,0.8851341192718134
Personality,0.8050244839748946
Personality,0.8789500557104742
Personality,0.9354925637105554
Education,0.8491752298316378
Education,0.8691280174922571
Education,0.8477127539468556
Education,0.8379111918681436
Education,1.0298877453250181
Education,0.8904136263845044
Education,0.9466618011062138
Education,0.869805513486019
Personality,0.922042509157923
Personality,0.9381603583841991
Personality,0.873570451708015
Personality,0.8133896752952353
Personality,0.9013469513194969
Personality,0.9461208518628339
Education,0.7907173031905494
Education,0.7703167107053834
Education,0.8458077990081692
Education,0.9977702624826736
Education,0.8302335817742301
Education,0.9689686937435524
Education,0.7884934152108843
Education,0.8025272543433271
Personality,0.8498661546373414
Personality,0.7925277304112106
Personality,0.7329263531707554
Personality,0.6882862487386678
Personality,0.848466688911995
Personality,0.8690802190966462
Education,0.900445860868045
Education,0.8796187612290964
Education,0.9209963184123253
Education,0.8452301667936368
Education,0.8975992904288195
Education,0.9181615561148115
Education,0.9351475753075097
Education,0.918661222986766
Personality,0.8486780224165081
Personality,0.9353177938178907
Personality,0.9522245734723128
Personality,0.8115054330603276
Personality,0.9113660665816855
Personality,0.9323840958845498
Education,0.8404655806391359
Education,0.7928217296836907
Education,0.8171071944194117
Education,0.9964748970799493
Education,0.8158411957246774
Education,0.7953512931542206
Education,0.8586893484558393
Education,0.8585693748730043
Personality,0.8324517704832743
Personality,0.7821131159383992
Personality,0.8402382169616289
Personality,0.7116549397983295
Personality,0.548610025732235
Personality,0.7979221221450579
Education,0.8360324951800142
Education,0.8760887939389668
Education,0.8725807874728349
Education,0.9740063250110093
Education,0.8965799366573324
Education,0.8740630134106442
Education,0.9133083809421518
Education,0.8026149654875114
Personality,0.9217137225273511
Personality,0.8376876797477798
Personality,0.8830864894589862
Personality,0.7097123354505495
Personality,0.8566697948840798
Personality,0.8706450164794611
Education,0.8105179210954077
Education,0.8213911467281053
Education,0.8818750318240762
Education,0.9689665363610933
Education,0.887550336634199
Education,0.888003987962581
Education,0.9139134252083927
Education,0.7872494374874301
Personality,0.9465677076763525
Personality,0.8827969299136114
Personality,0.8841697961825112
Personality,0.7680283282605089
Personality,0.8637382204652113
Personality,0.8902672039568761
Education,0.8066632807724845
Education,0.7956482305311244
Education,0.8751974077560127
Education,0.9401719189366958
Education,0.7448293049007157
Education,0.7730394855806126
Education,0.8105897391679745
Education,0.8104931045472016
Personality,0.8646802790879414
Personality,0.848591011179771
Personality,0.8303936210008023
Personality,0.6706433927571203
Personality,0.7760923710740355
Personality,0.8604832527074053
Education,0.9133516875320078
Education,0.9016665285526582
Education,0.9727832772593852
Education,0.9933432849460619
Education,0.8959774692701594
Education,0.9398369124099877
Education,0.922039297804089
Education,0.9848783761109421
Personality,0.9545522483087886
Personality,0.9141425398774097
Personality,0.9230271253663029
Personality,0.8170604664798691
Personality,0.8872977350804692
Personality,0.9195620906197516
Education,0.8037194323836296
Education,0.8249999929914095
Education,0.809816264583919
Education,1.0434472427695822
Education,0.7890444622402475
Education,0.7882995219285536
Education,0.862161471642682
Education,0.8620617330306408
Personality,0.8519102300724222
Personality,0.8018653615942479
Personality,0.8353697234813273
