domain_type,Best,Overall,Static,Frozen-Token,Frozen-Sentence
Education,0.7078125751667392,0.8967850829486281,0.8712983460761338,0.9354041234466874,0.7894235404119481
Personality,0.6654831283481747,0.8756399314487161,0.8568412913244234,0.9088340253883772,0.7823238630044976
