student,embedding,regressor,method,pct,K,M_max,baseline,full,labels_source,baseline_vs_full,delta,rel_change_pct
S1,e5_base,chain_ERCcv_lr,gemma,10,10,3072,0.6892180442810059,0.6841688752174377,labels_local_lasso,better,0.005049169063568115,0.7325938584262434
S1,e5_base,chain_ERCcv_lr,gemma,20,19,3072,0.6892180442810059,0.6780490875244141,labels_local_lasso,better,0.011168956756591797,1.6205258770093989
S1,e5_base,chain_ERCcv_lr,gemma,50,48,3072,0.6892180442810059,0.6755911707878113,labels_local_lasso,better,0.01362687349319458,1.9771498448520992
S1,e5_base,chain_ERCcv_lr,gemma,100,96,3072,0.6892180442810059,0.6755903363227844,labels_local_lasso,better,0.013627707958221436,1.9772709190221358
S1,e5_base,chain_ERCcv_lr,gemma,200,192,3072,0.6892180442810059,0.6911075711250305,labels_local_lasso,worse,-0.0018895268440246582,-0.27415516173779486
S1,e5_base,chain_ERCcv_lr,gemma,400,384,3072,0.6892180442810059,0.7084680795669556,labels_local_lasso,worse,-0.019250035285949707,-2.793025435953494
S1,e5_base,local_lasso,gemma,10,10,3072,0.7046546339988708,0.6903417110443115,labels_local_lasso,better,0.014312922954559326,2.0311968819866246
S1,e5_base,local_lasso,gemma,20,19,3072,0.7046546339988708,0.6960203647613525,labels_local_lasso,better,0.00863426923751831,1.2253193012468213
S1,e5_base,local_lasso,gemma,50,48,3072,0.7046546339988708,0.6790332794189453,labels_local_lasso,better,0.025621354579925537,3.6360159067607287
S1,e5_base,local_lasso,gemma,100,96,3072,0.7046546339988708,0.6812852621078491,labels_local_lasso,better,0.02336937189102173,3.316429178703049
S1,e5_base,local_lasso,gemma,200,192,3072,0.7046546339988708,0.6840757131576538,labels_local_lasso,better,0.02057892084121704,2.92042652503865
S1,e5_base,local_lasso,gemma,400,384,3072,0.7046546339988708,0.7061293125152588,labels_local_lasso,worse,-0.0014746785163879395,-0.20927677833029087
