,chain_ERCcv_lr,chain_ERCcv_rf,global_rf,local_lasso,local_mean,local_rf
chain_ERCcv_lr,1.0,0.9986219429776078,0.45381864842622177,0.1477547597367066,0.330587213627472,0.9661477071152391
chain_ERCcv_rf,0.9986219429776078,1.0,0.2273244908710027,0.05307611569799575,0.1477547597367066,0.8311307235930576
global_rf,0.45381864842622177,0.2273244908710027,1.0,0.9906375296868809,0.9999539264430944,0.9147596911085237
local_lasso,0.1477547597367066,0.05307611569799575,0.9906375296868809,1.0,0.9986219429776078,0.5877087491507489
local_mean,0.330587213627472,0.1477547597367066,0.9999539264430944,0.9986219429776078,1.0,0.8311307235930574
local_rf,0.9661477071152391,0.8311307235930576,0.9147596911085237,0.5877087491507489,0.8311307235930574,1.0
