,chain_ERCcv_lr,chain_ERCcv_rf,global_rf,local_lasso,local_mean,local_rf
chain_ERCcv_lr,1.0,0.0004,0.0001,0.7148,0.0001,0.0012
chain_ERCcv_rf,0.0004,1.0,0.0067,0.0004,0.0001,0.5416
global_rf,0.0001,0.0067,1.0,0.0001,0.0001,0.0166
local_lasso,0.7148,0.0004,0.0001,1.0,0.0001,0.0012
local_mean,0.0001,0.0001,0.0001,0.0001,1.0,0.0002
local_rf,0.0012,0.5416,0.0166,0.0012,0.0002,1.0
