model,rrmse_mean,rrmse_std,rrmse_median,rrmse_25th,rrmse_75th
chain_ERCcv_lr,2.1445259111314887,6.2113740845551275,1.0090582825050787,0.7027570828618659,1.4459724540323753
chain_ERCcv_rf,2.0340063355962363,9.12604591841147,0.985592943850647,0.7362042665655165,1.2968429810044353
global_rf,1.7075081814147666,6.842578686358665,0.9890365053340806,0.8027909987481722,1.1797187848345256
local_lasso,1.0875857971413008,1.7483940936999318,1.0000000005454663,0.9999999915315948,1.0000000104542202
local_mean,0.9999999999968976,1.5000269101552224e-11,0.9999999999992564,0.9999999999984067,0.999999999999561
local_rf,2.0806330198018737,8.539608084266673,0.9850896471237589,0.7385605193773033,1.3152287466920276
