,chain_ERCcv_lr,chain_ERCcv_rf,global_rf,local_lasso,local_mean,local_rf
chain_ERCcv_lr,1.0,0.0295,0.0023,0.4263,0.0002,0.0785
chain_ERCcv_rf,0.0295,1.0,0.0295,0.004,0.0001,0.4263
global_rf,0.0023,0.0295,1.0,0.0017,0.0006,0.0107
local_lasso,0.4263,0.004,0.0017,1.0,0.0002,0.0134
local_mean,0.0002,0.0001,0.0006,0.0002,1.0,0.0002
local_rf,0.0785,0.4263,0.0107,0.0134,0.0002,1.0
