,chain_ERCcv_lr,chain_ERCcv_rf,global_rf,local_lasso,local_mean,local_rf
chain_ERCcv_lr,1.0,0.0255,0.0015,0.5016,0.0015,0.0186
chain_ERCcv_rf,0.0255,1.0,0.0186,0.0161,0.0015,0.3874
global_rf,0.0015,0.0186,1.0,0.0015,0.0015,0.0208
local_lasso,0.5016,0.0161,0.0015,1.0,0.0015,0.0096
local_mean,0.0015,0.0015,0.0015,0.0015,1.0,0.0015
local_rf,0.0186,0.3874,0.0208,0.0096,0.0015,1.0
