,chain_ERCcv_lr,chain_ERCcv_rf,global_rf,local_lasso,local_mean,local_rf
chain_ERCcv_lr,1.0,0.2065,0.0221,1.0,1.0,0.0804
chain_ERCcv_rf,0.2065,1.0,1.0,0.0935,0.471,0.5945
global_rf,0.0221,1.0,1.0,0.0015,0.1827,0.196
local_lasso,1.0,0.0935,0.0015,1.0,0.5945,0.0028
local_mean,1.0,0.471,0.1827,0.5945,1.0,0.0935
local_rf,0.0804,0.5945,0.196,0.0028,0.0935,1.0
