,chain_ERCcv_lr,chain_ERCcv_rf,global_rf,local_lasso,local_mean,local_rf
chain_ERCcv_lr,1.0,0.1726,0.1353,0.7148,0.0134,0.1726
chain_ERCcv_rf,0.1726,1.0,0.5016,0.1189,0.0353,0.1726
global_rf,0.1353,0.5016,1.0,0.1937,0.004,0.6698
local_lasso,0.7148,0.1189,0.1937,1.0,0.004,0.0906
local_mean,0.0134,0.0353,0.004,0.004,1.0,0.0419
local_rf,0.1726,0.1726,0.6698,0.0906,0.0419,1.0
