,chain_ERCcv_lr,chain_ERCcv_rf,global_rf,local_lasso,local_mean,local_rf
chain_ERCcv_lr,1.0,0.4263,0.9032,0.9032,0.8552,0.583
chain_ERCcv_rf,0.4263,1.0,0.1726,0.391,0.2412,0.4263
global_rf,0.9032,0.1726,1.0,0.4263,0.9515,0.3258
local_lasso,0.9032,0.391,0.4263,1.0,0.0419,0.7148
local_mean,0.8552,0.2412,0.9515,0.0419,1.0,0.3575
local_rf,0.583,0.4263,0.3258,0.7148,0.3575,1.0
