,chain_ERCcv_lr,chain_ERCcv_rf,global_rf,local_lasso,local_mean,local_rf
chain_ERCcv_lr,1.0,0.0295,0.0017,0.391,0.7609,0.0067
chain_ERCcv_rf,0.0295,1.0,0.583,0.0085,0.0785,0.1353
global_rf,0.0017,0.583,1.0,0.0001,0.0203,0.0245
local_lasso,0.391,0.0085,0.0001,1.0,0.1189,0.0002
local_mean,0.7609,0.0785,0.0203,0.1189,1.0,0.0085
local_rf,0.0067,0.1353,0.0245,0.0002,0.0085,1.0
