,chain_ERCcv_lr,chain_ERCcv_rf,global_rf,local_lasso,local_mean,local_rf
chain_ERCcv_lr,1.0,0.0102,0.0048,0.2958,0.0015,0.0102
chain_ERCcv_rf,0.0102,1.0,0.0015,0.0102,0.0015,0.2355
global_rf,0.0048,0.0015,1.0,0.0018,0.0015,0.2355
local_lasso,0.2958,0.0102,0.0018,1.0,0.0015,0.0084
local_mean,0.0015,0.0015,0.0015,0.0015,1.0,0.0015
local_rf,0.0102,0.2355,0.2355,0.0084,0.0015,1.0
