,chain_ERCcv_lr,chain_ERCcv_rf,global_rf,local_lasso,local_mean,local_rf
chain_ERCcv_lr,1.0,0.1726,0.0676,0.1353,0.0085,0.2166
chain_ERCcv_rf,0.1726,1.0,0.0166,0.0245,0.0012,0.9515
global_rf,0.0676,0.0166,1.0,0.0012,0.0017,0.0166
local_lasso,0.1353,0.0245,0.0012,1.0,0.0002,0.0134
local_mean,0.0085,0.0012,0.0017,0.0002,1.0,0.0009
local_rf,0.2166,0.9515,0.0166,0.0134,0.0009,1.0
