,chain_ERCcv_lr,chain_ERCcv_rf,global_rf,local_lasso,local_mean,local_rf
chain_ERCcv_lr,1.0,-0.214,-0.398,0.0,-1.0,-0.337
chain_ERCcv_rf,0.214,1.0,-0.265,0.265,-1.0,-0.245
global_rf,0.398,0.265,1.0,0.418,-1.0,0.112
local_lasso,-0.0,-0.265,-0.418,1.0,-1.0,-0.337
local_mean,1.0,1.0,1.0,1.0,1.0,1.0
local_rf,0.337,0.245,-0.112,0.337,-1.0,1.0
