,chain_ERCcv_lr,chain_ERCcv_rf,global_rf,local_lasso,local_mean,local_rf
chain_ERCcv_lr,1.0,0.0006,0.0001,0.2676,0.0001,0.0002
chain_ERCcv_rf,0.0006,1.0,0.058,0.0012,0.0001,0.0906
global_rf,0.0001,0.058,1.0,0.0001,0.0002,0.3575
local_lasso,0.2676,0.0012,0.0001,1.0,0.0001,0.0006
local_mean,0.0001,0.0001,0.0002,0.0001,1.0,0.0001
local_rf,0.0002,0.0906,0.3575,0.0006,0.0001,1.0
