,median_rrmse
chain_ERCcv_lr,0.9541928502797792
chain_ERCcv_rf,0.9750960981868491
global_rf,0.9648530547417615
local_lasso,0.9585298641567586
local_mean,0.9999999999992248
local_rf,0.9728506938134572
