,Static,Frozen_Transformer,Partial_Fine_tuned
Static,1.0,0.022206838439312815,0.022206838439312815
Frozen_Transformer,0.022206838439312815,1.0,3.633402920755202e-07
Partial_Fine_tuned,0.022206838439312815,3.633402920755202e-07,1.0
