,partial_ft_sbert_bert,partial_ft_simcse_xlmr_base,partial_ft_e5_large
partial_ft_sbert_bert,1.0,0.4059,0.4263
partial_ft_simcse_xlmr_base,0.4059,1.0,0.4059
partial_ft_e5_large,0.4263,0.4059,1.0
