fold,method,pct,K,M_max,student,embedding,regressor,variant,median_rrmse_fold,rrmse_domain1,rrmse_domain2,rrmse_domain3,rrmse_domain4,rrmse_domain5,rrmse_domain6,rrmse_domain7,rrmse_domain8,rrmse_domain9,rrmse_domain10,rrmse_domain11,rrmse_domain12,rrmse_domain13,rrmse_domain14
0,gemma,10,10,3072,S1,e5_base,local_lasso,full,0.9690152406692505,0.2375696897506714,0.5228270292282104,513.7496337890625,0.5308641195297241,1.1528301239013672,0.22800803184509277,0.3399891257286072,3.103292942047119,1.033646821975708,4.298696041107178,4.486738204956055,0.2581799328327179,0.904383659362793,2.2460861206054688
1,gemma,10,10,3072,S1,e5_base,local_lasso,full,0.7605855464935303,0.7580481767654419,3.3539469242095947,0.848210334777832,0.950968861579895,0.203225240111351,0.7746546268463135,0.5255245566368103,0.7631229758262634,0.8370364904403687,0.029212400317192078,2.2831008434295654,0.3051741421222687,0.41378939151763916,0.2643280029296875
2,gemma,10,10,3072,S1,e5_base,local_lasso,full,0.6698733568191528,0.411935031414032,6.469359874725342,1.3106410503387451,0.7231211066246033,0.06690111756324768,449.5935363769531,4.917647838592529,0.7003907561302185,0.1530696153640747,0.6393559575080872,1.8053817749023438,0.14565522968769073,0.39224016666412354,0.24911025166511536
3,gemma,10,10,3072,S1,e5_base,local_lasso,full,0.6930526494979858,0.34650999307632446,0.653023362159729,12.912968635559082,0.4386341869831085,0.06920213997364044,0.26965734362602234,0.04192393273115158,0.29556578397750854,1.5197269916534424,0.7529070377349854,1.4376165866851807,0.7330818772315979,0.827073872089386,0.9361292123794556
4,gemma,10,10,3072,S1,e5_base,local_lasso,full,0.5310924053192139,0.43813279271125793,0.5336880087852478,0.1852865070104599,0.4705938398838043,18.854148864746094,0.8826509714126587,0.6880640983581543,0.08844799548387527,0.7236543893814087,1.070303201675415,0.04437055066227913,0.597855269908905,0.170691579580307,0.5284967422485352
5,gemma,10,10,3072,S1,e5_base,local_lasso,full,0.5273493528366089,0.4440072178840637,0.9409013390541077,0.7366849780082703,0.40285250544548035,0.40068039298057556,1.261423945426941,0.7208420038223267,0.5371301174163818,0.5175686478614807,2.6772522926330566,0.21076850593090057,0.08595560491085052,0.15241235494613647,0.9445744752883911
6,gemma,10,10,3072,S1,e5_base,local_lasso,full,0.5929845571517944,0.8582162857055664,0.6311273574829102,0.7639980912208557,0.8975185751914978,2.9002397060394287,1.2249847650527954,0.09335795044898987,0.1305784434080124,0.09468438476324081,0.5012289881706238,0.5548418164253235,0.13531853258609772,0.06690291315317154,1.3026838302612305
7,gemma,10,10,3072,S1,e5_base,local_lasso,full,1.1616202592849731,0.6972385048866272,0.8020505309104919,59.80569839477539,2.6092779636383057,14.399737358093262,1.3448359966278076,0.9402579069137573,1.4187383651733398,0.7312238812446594,0.7900469303131104,23.882768630981445,0.9784045815467834,8.540167808532715,0.6695895195007324
8,gemma,10,10,3072,S1,e5_base,local_lasso,full,0.6850935220718384,0.812991738319397,0.5571953058242798,0.003265880746766925,0.2734818458557129,1.3562893867492676,4.997186660766602,1.1878583431243896,1.021382212638855,1.4244405031204224,0.06872888654470444,0.23333008587360382,0.9982268810272217,0.322321355342865,0.4847300052642822
9,gemma,10,10,3072,S1,e5_base,local_lasso,full,1.0098977088928223,1.011820673942566,0.4987470507621765,3.1074154376983643,1.1409093141555786,0.3277808427810669,10.55744457244873,0.5468529462814331,1.007974624633789,1.078609585762024,0.09233564883470535,3.6374351978302,0.7906445264816284,0.40013375878334045,1.3452519178390503
